Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
933, 23564, 2130, 840
934, 23494, 2210, 885
935, 23369, 2120, 870
936, 23625, 2170, 925
937, 23475, 2120, 866
938, 23329, 2200, 840
939, 23579, 2115, 800
940, 23405, 2125, 850
941, 23374, 2135, 850
942, 23540, 2165, 825
943, 23445, 2115, 840
944, 23464, 2105, 805
945, 23359, 2125, 840
946, 23545, 2090, 850
947, 23560, 2065, 820
948, 23605, 2220, 826
949, 23549, 2235, 860
950, 23459, 2125, 855
951, 23729, 2175, 920
952, 23619, 2110, 865
953, 23440, 2165, 850
954, 23874, 2124, 810
955, 23329, 2110, 885
956, 23324, 2145, 865
957, 23899, 2175, 805
958, 23455, 2215, 850
959, 23870, 2119, 816
960, 23409, 2139, 835
961, 23654, 2065, 850
962, 23479, 2080, 825
963, 23630, 2125, 820
964, 23500, 2210, 865
965, 23640, 2134, 856
966, 23674, 2224, 905
967, 23524, 2095, 860
968, 23419, 2195, 835
969, 23634, 2105, 845
970, 23350, 2135, 875
971, 23354, 2144, 860
972, 23615, 2169, 805
973, 23489, 2115, 820
974, 23584, 2100, 800
975, 23499, 2130, 855
976, 23595, 2055, 875
977, 23499, 2080, 840
978, 23674, 2210, 840
979, 23534, 2235, 855
980, 23379, 2120, 865
981, 23750, 2185, 900
982, 23490, 2135, 870
983, 23355, 2170, 850
984, 23644, 2250, 805
985, 23349, 2120, 840
986, 23374, 2130, 855
987, 23654, 2125, 805
988, 23415, 2214, 830
989, 23555, 2120, 805
990, 23374, 2125, 845
991, 23634, 2090, 865
992, 23485, 2095, 830
993, 23780, 2120, 825
994, 23449, 2374, 880
995, 23399, 2115, 860
996, 23659, 2165, 915
997, 23474, 2105, 870
998, 23339, 2165, 855
999, 23650, 2110, 800
1000, 23489, 2190, 840
