Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
724, 8384341, 42005, 13304
725, 8378742, 41969, 7445
726, 8382327, 41895, 7439
727, 8389547, 41854, 7530
728, 8384722, 41804, 7410
729, 8381057, 41809, 7275
730, 8381457, 41914, 7390
731, 8380002, 41614, 7369
732, 8382927, 41814, 7390
733, 8382016, 42509, 7539
734, 8390432, 42114, 7414
735, 8386007, 41619, 7430
736, 8391411, 41609, 7300
737, 8374982, 41714, 7380
738, 8382876, 42059, 7390
739, 8379932, 41814, 7440
740, 8376891, 41604, 7470
741, 8386762, 41824, 7435
742, 8383762, 41819, 7445
743, 8386667, 41735, 7369
744, 8387317, 43169, 7920
745, 8388256, 42000, 7395
746, 8385872, 42219, 7555
747, 8384066, 41844, 7465
748, 8399121, 42969, 7705
749, 8391557, 41919, 7359
750, 8390087, 42149, 7485
751, 8376856, 41974, 7374
752, 8377122, 41579, 7435
753, 8378382, 41984, 7415
754, 8379681, 41754, 7420
755, 8383997, 41565, 7384
756, 8383932, 41759, 7465
757, 8384162, 42010, 7434
758, 8409016, 44249, 8005
759, 8489385, 47754, 8645
760, 8590232, 44095, 7914
761, 8389751, 41735, 7394
762, 8404642, 42790, 7650
763, 8414146, 62054, 7705
764, 8379822, 41849, 7425
765, 8385677, 42284, 7325
766, 8404361, 42054, 7425
767, 8378907, 41964, 7670
768, 8386272, 41944, 7430
769, 8371593, 42339, 7554
770, 8390387, 42559, 7595
771, 8381037, 47574, 7480
772, 8388756, 41884, 7390
773, 8375487, 41724, 7400
774, 8386042, 42255, 7520
775, 8378187, 41834, 7394
776, 8377882, 41779, 7560
777, 8378482, 42064, 7519
778, 8386192, 41894, 7460
779, 8384286, 41825, 7469
780, 8383137, 41849, 7415
781, 8374847, 41964, 7320
782, 8378491, 41919, 7370
783, 8384852, 41849, 7490
784, 8389106, 41659, 7470
785, 8406176, 42074, 7365
786, 8382386, 41719, 7410
787, 8385687, 41934, 7425
788, 8387197, 42124, 7425
789, 8378676, 41949, 7524
790, 8379777, 41699, 7450
791, 8385131, 41754, 7450
792, 8380637, 41774, 7440
793, 8397021, 42554, 7645
794, 8381447, 41745, 7660
795, 8378462, 42099, 7550
796, 8388201, 41934, 7450
